input,output
马超箭术精准，船上的人们纷纷落水；船里几十人都被射倒在地。,马超箭不虚发，船上驾舟之人，应弦落水；船中数十人皆被射倒。
云长带着魏延来见，孔明下令刀斧手推下去斩。,云长引魏延来见，孔明喝令刀斧手推下斩之。
出自西秦的兵马，展现着雄才大略，能胜过万人。只需轻轻摇动三寸舌头，便能让老奸臣受到严厉指责，甚至骂到死。,兵马出西秦，雄才敌万人。轻摇三寸舌，骂死老奸臣。
在战斗中，曹军乘胜追击，无数敌军丧命；他们的马匹和武器也被抢夺一空。,曹军乘势攻击，死者不可胜数；马匹器械，抢夺极多。
带领着一百多名官员走出城门迎接。,遂率百官出城迎接。
孙权派满宠回许都，然后派诸葛瑾去荆州。,孙权用其谋，先送满宠回许都；却遣诸葛瑾为使，投荆州来。
在城中寻找典韦的踪影，却毫无所获；当他再次冲出城壕边时，却与乐进迎面相遇。,典韦杀入城中，寻觅不见；再杀出城壕边，撞着乐进。
岱说：“这些都是朝廷的军队，没有区别。丞相需要，即使牺牲也愿意。”,岱曰：“皆是朝廷军马，何分彼我？丞相要用，虽死不辞。”
今天我收到了天子的秘密命令，号召所有有正义的士兵，发誓要净化华夏，消灭恶势力。,今奉天子密诏，大集义兵，誓欲扫清华夏，剿戮群凶。
命令承担运送尸体。,策命扛出葬之。
在北飞的爵望中，举行了隆重的拜见仪式，随后设下美酒款待前来使节。,飞受爵望北拜毕，设酒款待来使。
维一进入城池就关闭了城门，率领军队守卫着，然后拜见了自己的老母亲，最终没有选择出战。,维入城闭门，率兵守护，拜见老母，并不出战。
左右递杯道：“快换衣服啦！”,左右喝曰：“何不更衣！”
孟优跟着兄长策划，带领着一百多名蛮族士兵，搬运着金珠、宝贝、象牙和犀角等物品，成功渡过了泸水，直奔孔明的大寨而来。当他们刚刚跨过河流时，突然听到前面的鼓角声响，一支军队迅速摆开阵势：为首的大将是马岱。,孟优领了兄计，引百余蛮兵，搬载金珠、宝贝、象牙、犀角之类，渡了泸水，径投孔明大寨而来；方才过了河时，前面鼓角齐鸣，一彪军摆开：为首大将乃马岱也。
荀攸说：“根据我的看法，不如发布降诏，提升马腾的官职为征南将军，让他去讨伐孙权，将他引诱到京城，先除掉这个人，那么南征就不会再有担忧了。”,荀攸曰：“以愚所见，不若降诏加马腾为征南将军，使讨孙权，诱入京师，先除此人，则南征无患矣。”
军士从未有过伤害他人的行为。,军士不曾伤害一人。
孔明率领军队进攻冀城。,孔明却引兵来攻冀城。
只是挂念着卿兄弟而已。,但以卿兄弟为念耳。
见面后，懿说：“街亭已经失守，诸葛亮肯定会逃跑。你赶快和子丹一起连夜追赶他。”,相见已毕，懿曰：“今街亭已失，诸葛亮必走。公可速与子丹星夜追之。”
一天晚上，喝醉了酒，回到卧室，悄悄地问身边的人：“这座城市里有妓女吗？”,一日操醉，退入寝所，私问左右曰：“此城中有妓女否？”
谦说：“现在天下动荡，王权衰微；您是汉室宗亲，应该尽力维护国家。我年事已高，愿意把徐州让给您。请不要推辞。我将会亲自撰写奏章，呈报朝廷。”,谦曰：“今天下扰乱，王纲不振；公乃汉室宗亲，正宜力扶社稷。老夫年迈无能，情愿将徐州相让。公勿推辞。谦当自写表文，申奏朝廷。”
何进告诉绍：“中官结党，今天可以利用机会全部消灭他们。”,绍谓何进曰：“中官结党。今日可乘势尽诛之。”
在汉室灭亡之际，奸邪之人掌控权力，虚伪地宣称继承了唐代的禅位。满朝百官都推崇魏国，唯独忠臣符宝郎显得独特。,奸宄专权汉室亡，诈称禅位效虞唐。满朝百辟皆尊魏，仅见忠臣符宝郎。
昭大发怒说：“这些小毛贼竟然敢这样嚣张！”,昭大怒曰：“鼠辈安敢如此！”
张苞和关兴一起走了出来。,张苞、关兴齐出。
