input,output
李逵进去时，发现已经摆好了一桌酒菜。,李逵走进去，那边已摆上一桌子酒馔。
宋江当天加速军队行动，抵达寒山寺后设立营地，并表彰朱仝。,宋江当日催趱军马，直近寒山寺下寨，升赏朱仝。
一群二三十人赶路时发现一条棒子，于是从藏殿里打斗着冲出来。,二三十人都赶得没路，夺条棒，从藏殿里打将出来。
下次再告诉你钮文忠和于玉麟的命运如何。,毕竟钮文忠，于玉麟性命如何，再听下回分解。
李逵说：“我的方法很简单，不需要任何符咒，一到房间就直接抓住鬼魂。”,李逵道：“我的法只是一样，都没什麽鸟符，身到房里，便揪出鬼来。”
燕青拿到了赦书，磕头后离开了，去休息了。,约有更深，燕青拿了赦书，叩头安置，自去歇息。
晁盖当晚一直感到身体沉重，直到三更天才转头看着宋江，轻声嘱咐道：贤弟，请不要责怪我说，如果有人抓住了射死我的那个人，就让他成为梁山泊的主宰吧。,当日夜至三更，晁盖身体沉重，转头看著宋江，嘱咐道：贤弟莫怪我说：若那个捉得射死我的，便教他做梁山泊主。
大宋皇帝颁布诏书：三皇登基，五帝传承，中华有主，夷狄亦非无君？,大宋皇帝制曰：三皇立位，五帝禅宗，虽中华而有主，岂夷狄之无君？
两人在马上交战，史进故意露出破绽，陈达趁机将枪刺向史进的 heart ；史进闪躲开来，陈达的枪却插入了他的怀里；史进轻松地摆动手臂，扭动着腰部，一用力，将陈达从嵌花鞍上轻轻拉下来，然后轻松地抓住了线的搭头，轻轻地扔在地上，那匹战马如风般地离去。,两个交马，斗了多时，史进卖个破绽，让陈达把枪望心窝里搠来；史进却把腰闪，陈达和枪撷入怀里来；史进轻舒猿臂，款扭狼腰，只一挟，把陈达轻轻摘离了嵌花鞍，款款揪住了线搭，只一丢，丢落地，那匹战马拨风也似去了。
在蒿里山脚下，有七十二个判官在办公；在白骡庙里，土神们按照二十四节气来工作。,蒿里山下，判官分七十二司；白骡庙中，土神按二十四气。
朝廷任命了太尉，怎么能和你商量呢！,太尉是朝廷命臣，如何与你商量！
那节级勃然大怒：“你这个黑矮家伙，到底是谁给了你胆子，不然的话，为什么不给我一些常例钱？”,"那节级便骂道：""你这黑矮杀才，倚仗谁的势，要不送常例钱来与我？"""
关胜笑着说：作为百万军中的大将，如果不能团结一心，又怎么能自如地指挥作战呢？,关胜大笑道：大将身居百万军中，若还不是一德一心，安能用兵如指？
"李逵回答说：""铁牛已经当上了官，现在正要上路去接母亲。""","李逵应道：""铁牛如今做了官，上路特来取娘。"""
这妇人从那时起就开始大约在武大回来之前去拉上帘子，关上大门。,自此，这妇人约莫到武大归时先自去收了帘儿，关上大门。
听说黄文炳拿到了，宋江非常高兴。,见说拿得黄文炳，宋江不胜之喜。
单廷笑着指关胜说：“你这个没本事的小家伙，竟然背离了魏定国这个狂夫！你辜负了朝廷的恩惠，也羞辱了祖宗的名誉，真是太没底线了！现在你还敢来军队，有什么可说的？”,单廷，魏定国大笑，指著关胜骂道：“无才小辈，背反狂夫！上负朝廷之恩，下辱祖宗名目，不知廉耻！引军到来，有何理说？”
在夕阳西下的时候，所有的物资都搬离了土冈，向着南方前行。然而，却留下了一百多辆柴薪车，散乱地分布在西南风的方向，靠近草房和茅草边。,在黄昏时候，尽数出了土冈，望南先行，却留下百十辆柴薪车，四散列于西南下风头草房茅边。
让我们期待下期宋公明会提出什么明智的提议。,毕竟宋公明说出甚麽主意，且听下回分解。
燕顺和石勇一起在店里点了些酒和食物，付了钱后，让石勇骑着宋江的马，带着随从，离开酒店不远，找到一家大的客店，等待着。,且说燕顺同石勇，只就那店里了些酒食点心，还了酒钱，却教石勇骑了宋江的马，带了从人，只离酒店三五里路，寻个大客店，歇了等候。
老子说：“为什么教师父会变成坏人呢？”,"老子道：""阿也！甚么道理教师父坏钞？"""
李成听说闻达连续几天带领军队出城交战，却无法取得胜利；索超的箭伤还未痊愈。,李成，闻达连日提兵出城交战，不能取胜；索超箭疮将，息未得痊可。
在山前的第一关由雷横和樊瑞守卫，第二关由解珍和解宝守卫，第三关由项充和李衮守卫，金沙滩小寨由燕顺、郑天寿、孔明和孔亮守卫，而鸭嘴滩小寨则由李忠、周通、邹闰守卫。,山前第一关令雷横、樊瑞守把；第二关令解珍、解宝守把；第三关令项充、李衮守把；金沙滩小寨令燕顺、郑天寿、孔明、孔亮四个守把；鸭嘴滩小寨令李忠、周通、邹闰四个守把。
