input,output
这三个人，无论是行者、八戒还是沙僧，都放弃了手中的棍杖，而是拿着钉钯准备迎击。,这行者、八戒、沙僧丢开棍杖、轮着钉钯抵住。
听到这个消息，老魔虽然并不害怕，但却感到一丝惊恐。他只能强装镇定地喊道：“兄弟们，别害怕，拿我的药酒来，我喝几口下去，把那只猴子药死算了！”,老魔听说，虽说不怕，却也心惊，只得硬着胆叫：“兄弟们，莫怕，把我那药酒拿来，等我吃几锺下去，把猴儿药杀了罢！”
有缘分就不用俗愿，无忧无虑就会遇见元龙。,有分有缘休俗愿，无忧无虑会元龙。
那贼惊讶地说：“这个和尚真是胆大包天！”,那贼大惊道：“这和尚好硬头！”
三藏扶着道：“请不要害怕，并非妖怪，只是我的弟子而已。”,三藏搀起道：“施主莫怕，不是妖怪，是我徒弟。”
放下六根的贪欲，瞬间领悟到本性的本来面目。,休逞六根多贪欲，顿开一性本来原。
玉帝说：“我看到你没事做，给你个任务。你去管理蟠桃园，要小心。”,玉帝道：“朕见你身闲无事，与你件执事。你且权管那蟠桃园，早晚好生在意。”
八戒说：“樵夫，我看你家很贫困，只能随便吃一顿，别太客气了。”,八戒道：“樵哥，我，见你府上也寒薄，只可将就一饭，切莫费心大摆布。”
行者接过水，口中吐出丹来，轻轻放入皇帝的嘴里，双手扳开牙齿，用清水将金丹冲入肚中。,行者接了水，口中吐出丹来，安在那皇帝唇里，两手扳开牙齿，用一口清水，把金丹冲灌下肚。
"""哥啊，公子赴宴时，不醉就已尽兴；壮士上阵，不死也定会受伤。说错话不要紧，接下来才显英雄本色。""",“哥啊，你知道公子登筵，不醉即饱；壮士临阵，不死带伤？先说句错话儿，后便有威风。”
教唆说：“孩子们，把唐僧绑起来，把那两个宝贝解下来，换成两条绳子也把他绑起来。拖到后面去，等我把他的大徒弟抓住，一起清洗干净，然后好一起烹饪吃掉。”,教：“小的们，把唐僧捆了，将那两个解下宝贝，换两条绳子也捆了。且抬在后边，待我拿住他大徒弟，一发刷洗，却好凑笼蒸吃。”
八戒拉着马，他指明了方向，直奔正阳门而去。,八戒牵着马，他引了路，径奔正阳门。
再看那个楼台的地方，也已经消失了，只看到山根的怪石。,回看那楼台处所，亦俱无矣，惟见山根怪石。
忍受了很长时间，然后毫不犹豫地跃下山崖，手持降妖宝杖，击打水帘洞外，吓跑了群妖，掀翻了石凳，将所有饮酒食肉的器皿全部打碎，寻找他的青毡包袱，但四处皆空。,忍耐良久，且纵身跳下山崖，使降妖宝杖，打近水帘洞外，惊散群妖，掀翻石凳，把饮酒食肉的器皿，尽情打碎，寻他的青毡包袱，四下里全然不见。
三藏笑着说：“很好！你师兄叫悟空，你叫悟能，其实这是我的门派。”,三藏笑道：“好！好！你师兄叫做悟空，你叫做悟能，其实是我法门中的宗派。”
高 山峻岭，千山万壑，峰峦起伏，群峰挺拔，峰峰插云，山峰顶端冲开虚空。,山峰高耸，顶透虚空。
在恐慌的时候，传来太后的旨意，要求徐茂功、护国公、尉迟公前来见驾。,正怆惶间，又听得太后有旨宣徐茂功、护国公、尉迟公见驾。
行者递给八戒帖子，念了一遍后问：“李长庚是谁？”,行者把帖儿递与八戒，念了一遍道：“李长庚是那个？”
四名太尉、两位将军，按照命令遵从并作出承诺。,四太尉、二将军，依言领诺。
这场比赛让我感到非常后悔，实在是太迟了。,今此一场，诚悔之晚矣。
在夜深风静的时候，紫衣香翅追逐着流萤，这是我最喜欢的景象。,紫衣香翅赶流萤，最喜夜深风静。
穿过千层山峦，越过万重沟壑。,千崖万壑，亿曲百湾。
三个兄弟拴住白马，守护着行囊，就地坡下安营扎寨，不再提起。,遂此三个弟兄，拴牢白马，守护行囊，就在坡下安歇不题。
在墙上摆放了酒席，和大圣一起招待客人。,一壁厢安排酒席，与大圣陪礼。
三藏扶起道：“老院主，你为何要行此礼？”,三藏搀起道：“老院主，为何行此礼？”
金申出生时就像猴一样，无拘无束，平和无争。,申下生金本是猴，无刑无克多和气。
走进寺庙，感受到的是一个真正的天朝大国，简直胜过裟婆，赛过祇园舍卫，几乎可以与上刹招提相媲美。,入到寺里观看，真个是天朝大国，果胜裟婆，赛过祇园舍卫，也不亚上刹招提。
那女子微笑着轻声回答道：“对不起，我有点害怕。刚刚听到圣僧的诗句，实在是了不起，如果您不介意的话，能否赐教一首呢？”,那女子笑而悄答道：“惶恐！惶恐！适闻圣僧之章，诚然锦心绣口，如不吝珠玉，赐教一阕如何？”
走出松林，抬头望去，发现那墙壁上金光闪闪，彩气缭绕，仔细观察，才发现一座宝塔，金顶闪耀着光芒。,出得松林，忽抬头，见那壁厢金光闪烁，彩气腾腾，仔细看处，原来是一座宝塔，金顶放光。
大圣打斗中愈发兴奋，真仙坚持战斗愈发谨慎。,大圣愈争愈喜悦，真仙越打越绸缪。
那怪从腰间取出金牌，在殿下叩头承认错误，玉帝问：“奎木狼，上界有无数美景，你不去享受，为何私自离开？”,那怪腰间取出金牌，在殿下叩头纳罪，玉帝道：“奎木狼，上界有无边的胜景，你不受用，却私走一方，何也？”
孙行者站在潭岸上等待，看到他们追赶八戒，八戒离开水面，踏着云雾，孙行者手持铁棒喝住他们：“别想逃跑！”,却说孙行者立于潭岸等候，忽见他们追赶八戒，出离水中，就半踏云雾，掣铁棒，喝声“休走！”
行者说：“没关系！我们有老孙和我师弟，不管遇到什么妖怪，都害怕我们。”,行者道：“不妨！不妨！有了老孙与我这师弟，任他是甚么妖怪，不敢惹我。”
行者笑着说：“老孙随便扭一下腰，就到了，你们为什么还要走半天？”,行者笑道：“老孙把腰略扭一扭儿，就到了，你们怎么就走这半日？”
八戒笑着说：“这条路你走过，怎么会不知道！就是有点奇怪。你假装不认识，在逗我们玩呢。”,八戒笑道：“这路是你行过的，怎说不知！却是又有些儿跷蹊。故意推不认得，捉弄我们哩。”
妖们，齐声回应“是！”,众妖们，大家响响的答应了一声“是！”
行者走近八戒，突然抓住他的脸，用力打了一巴掌，说：“你这粗人，我显什么魂？”,行者到跟前，一把挝住八戒脸，一个巴掌打了个踉跄，道：“夯货！我显甚么魂？”
立刻化身为旗杆，支撑起金铙。,即变做幡竿一样，撑住金铙。
太宗看过情况，知道相良不要金银，说：“这真是个善良的长者。”,太宗见了本，知相良不受金银，道：“此诚为善良长者！”
在那宁静的夜晚，月亮缓缓西沉，花的梦境悄然无声，温暖的微风轻轻吹拂着墙壁上的纱帘。,正是那：人静月沉花梦悄，暖风微透壁窝纱。
大家才放心让他们离开。,众人却才敢散去讫。
在巧石山头，尖峰林立，宛如玉笋般削削尖峰；而在养鱼池内，清流潺潺，仿佛冰盘般清澈透明。,巧石山头，削削尖峰排玉笋；养鱼池内，清清活水作冰盘。
一人渴望洞房花烛，与伴侣共度良宵；一人渴望前往西宇灵山，拜见世尊。,一个要洞房花烛交鸳侣，一个要西宇灵山见世尊。
金箍棒和混铁棍，这两者在这场比拼中展现了他们的好战本性：不再以朋友相称，只顾着变幻自己的脸庞。,两个这场好斗：金箍棒，混铁棍，变脸不以朋友论。
每个人都倒满酒，一饮而尽。,真个又各斟上，又饮干了。
伯钦命令：“早点剥皮，准备招待客人。”,伯钦吩咐教：“赶早剥了皮，安排将来待客。”
那寺里的僧人们已经把那位老和尚埋葬了，现在都在方丈里侍奉唐僧。,那本寺僧人已葬埋了那老和尚，都在方丈里伏侍唐僧。
三藏说：“他离这里只有二十里，怎么就能确定是他？”,”三藏道：“他那厢离此有二十里，如何就断得是他？
那把门精怪吓得一群人涌入后宫，惊动了妖王，他匆忙下令：“快去救火！”,唬得那把门精怪一拥撞入后宫，惊动了妖王，慌忙教：“去救火！救火！”
"""兄弟啊，尽情享用这些美食吧。离开寇家，就再也找不到这么丰盛的佳肴了！""",“兄弟，放怀放量吃些儿。离了寇家，再没这好丰盛的东西了！”
既然打算拜会如来，为何不亲自前往宝刹，怎能在此观赏山色？,既然要见如来，怎么不登宝刹，且在这里看山？
在这偏僻的地方，再也没人来旅游，只有门口飘零的野花开着。,地僻更无游客到，门前惟有野花开。
这场对决中，谁会是赢家，谁会是一时的输家呢？,这场相遇争高下，不知那个亏输那个赢。
仔细观察，行者发现了一棵大桧树、一棵老柏树、一棵老松树和一棵老竹子。竹子后面还有一棵丹枫树。,行者仔细观之，却原来是一株大桧树，一株老柏，一株老松，一株老竹，竹后有一株丹枫。
在每一次爱的光芒触及火焰的时候，我忙碌地飞舞着，从未停歇。,每爱炎光触焰，忙忙飞绕无停。
行者和八戒追赶着老虎下山坡，老虎突然摔倒了，倒塌在崖前。行者挥舞着棒子，用力击打，结果自己手也疼了起来。,却说那行者、八戒，赶那虎下山坡，只见那虎跑倒了，塌伏在崖前，行者举棒，尽力一打，转震得自己手疼。
上下四渌龙，二十八宿皆周旋。,四渎龙神分上下，二十八宿密层层。
那童子走出门来，大声问：“是谁在这里吵闹？”,那童子出得门来，高叫道：“甚么人在此搔扰？”
马的脚下不平稳，坐在雕鞍上感觉不稳定，突然摔倒在地上，无法动弹，只能躺在草丛中哼哼着。,一是马的足下不平，二是坐个雕鞍不稳，扑的跌下马来，挣挫不动，睡在草里哼哩。
起初只有拳頭大小，但後來卻像瓮倒盆傾一樣。,起初时如拳大小，次后来瓮泼盆倾。
那傻子手持钉钯，飞奔上山顶崖，高喊道：“妖精快出来！准备好和我的猪祖宗交战吧！”,那呆子举钉钯跑上山崖，叫道：“妖精出来！与你猪祖宗打来！”
分开后，师父感到非常口渴，让八戒去找水，等了很久都没回来，于是又让我去找他。,分别之后，师父饥渴太甚，教八戒去寻水，久等不来，又教我去寻他。
唐僧问：“你说是妖怪来了，为什么还要走路？”,唐僧道：“你说妖怪来了，怎么又敢走路？”
原来，那些熟悉的味道都是被猴王所品尝过的。,原来熟的都是猴王吃了。
